-,-,-
-0.02,-0.13,1.00
-0.02,-0.09,0.97
-0.01,-0.12,0.96
-0.02,-0.14,1.00
-0.02,-0.13,1.01
-0.02,-0.13,0.99
-0.02,-0.13,1.00
-0.02,-0.14,1.00
-0.02,-0.13,0.99
-0.02,-0.14,0.99
-0.02,-0.16,1.00
-0.02,-0.15,1.00
-0.02,-0.13,0.97
-0.02,-0.13,1.00
-0.02,-0.14,1.01
-0.02,-0.14,0.97
-0.01,-0.14,0.97
-0.01,-0.15,0.97
-0.01,-0.13,0.98
-0.01,-0.13,0.99
-0.01,-0.13,1.02
-0.01,-0.17,1.00
-0.00,-0.14,0.95
0.00,-0.14,0.95
-0.00,-0.13,0.96
-0.01,-0.12,0.94
-0.01,-0.11,0.93
-0.01,-0.12,0.94
-0.01,-0.18,0.94
0.00,-0.25,1.00
-0.01,-0.25,0.98
-0.08,-0.34,1.36
-0.17,-0.32,1.93
-0.26,-0.18,1.98
-0.17,-0.33,1.54
-0.20,0.15,1.44
-0.14,0.67,1.35
-0.14,0.56,1.32
-0.13,0.72,0.88
0.01,0.78,0.48
0.15,0.48,0.36
0.18,0.47,0.46
0.20,0.43,0.23
0.32,0.18,-0.12
0.29,0.12,-0.20
0.26,0.03,-0.18
0.13,0.04,-0.27
0.04,-0.08,-0.32
-0.16,-0.29,-0.32
-0.44,-0.41,-0.24
-0.93,-1.04,0.78
-1.05,-1.12,0.98
-1.19,-1.03,1.44
-1.22,-1.24,1.58
-1.30,-1.47,1.85
-1.35,-1.09,1.91
-1.46,-0.24,1.64
-1.27,-0.41,2.02
-1.33,-0.28,1.76
-1.37,-0.06,1.82
-1.35,0.15,1.68
-1.25,0.48,1.48
-1.10,0.44,1.43
-0.97,0.42,1.37
-0.80,0.33,1.33
-0.72,0.22,1.10
-0.65,0.28,0.91
-0.53,0.28,0.70
-,-,-
-0.09,-0.04,0.95
-0.09,-0.05,0.98
-0.09,-0.05,0.98
-0.09,-0.04,0.99
-0.09,-0.04,0.99
-0.09,-0.03,1.01
-0.09,-0.04,1.02
-0.09,-0.04,0.98
-0.09,-0.05,1.00
-0.10,-0.04,1.02
-0.10,-0.05,1.01
-0.10,-0.04,1.02
-0.10,-0.05,1.00
-0.10,-0.05,1.02
-0.10,-0.03,1.03
-0.10,-0.05,1.03
-0.10,-0.03,1.00
-0.09,-0.05,0.97
-0.09,-0.07,0.99
-0.10,-0.03,1.01
-0.10,-0.03,1.00
-0.09,-0.01,1.00
-0.08,-0.02,0.98
-0.06,-0.04,0.93
-0.05,-0.03,0.90
-0.09,0.00,0.94
-0.10,-0.06,1.05
-0.11,-0.04,1.15
-0.12,0.02,1.09
-0.14,0.05,1.06
-0.12,0.07,1.06
-0.08,-0.09,1.05
-0.07,-0.07,1.02
-0.07,0.02,0.92
-0.05,-0.02,0.82
-0.01,-0.06,0.82
-0.02,-0.10,0.88
-0.07,-0.07,0.80
-0.06,-0.17,0.82
-0.08,-0.12,0.99
-0.07,-0.19,0.89
-0.07,-0.19,0.85
-0.11,-0.11,1.09
-0.12,-0.14,1.11
-0.21,-0.34,1.50
-0.34,-0.18,1.74
-0.42,0.05,1.69
-0.50,0.22,1.82
-0.51,0.11,2.01
-0.62,0.42,1.85
-0.57,0.55,1.49
-0.47,0.65,1.18
-0.44,0.81,1.03
-0.42,1.00,0.94
-0.34,0.97,0.54
-0.15,0.79,0.14
-0.08,0.56,-0.03
-0.05,0.47,-0.20
-0.00,0.22,-0.32
0.03,-0.08,-0.42
0.05,-0.17,-0.60
0.08,-0.67,-0.53
-0.01,-0.88,-0.57
-0.20,-1.01,-0.62
-0.43,-1.27,-0.05
-0.62,-1.50,0.59
-0.80,-1.48,1.19
-1.26,-1.73,1.57
-1.50,-1.07,1.93
-1.62,-0.45,2.30
-1.67,-0.35,2.52
-1.68,-0.23,2.84
-1.67,0.20,2.93
-1.49,1.03,1.79
-1.31,0.60,1.81
-1.20,0.29,1.84
-1.15,0.50,1.73
-1.08,0.89,1.16
-0.62,0.44,0.37
-0.41,0.18,0.35
-0.31,0.30,0.39
-0.25,0.40,0.28
-,-,-
0.09,-0.01,0.94
0.09,-0.00,0.99
0.08,-0.01,1.03
0.09,-0.02,1.02
0.09,-0.01,0.98
0.08,0.00,0.94
0.08,-0.02,0.95
0.08,0.01,1.00
0.07,-0.00,1.02
0.08,0.01,1.00
0.08,0.03,0.95
0.08,-0.01,0.97
0.08,-0.02,1.00
0.07,-0.00,0.99
0.08,-0.01,0.99
0.07,0.00,0.97
0.08,-0.03,0.97
0.07,-0.04,1.00
0.05,-0.00,1.00
0.05,0.01,0.99
0.06,-0.02,0.95
0.07,-0.05,0.93
0.08,-0.01,0.89
0.11,-0.07,0.84
0.12,-0.10,0.80
0.14,-0.16,0.73
0.13,-0.30,0.55
0.10,-0.38,0.43
